ACLE1;DESAPRES;;;;;;;;CODESSFAMILLE;CODEFAMILLE;CODEVENTILVT;POIDS
820015;A1 Approuvé;23/03/2016 11:31:07;Partie mâle douilleattache fixe TK;;;;;;N;602;5;
820016;A1 Etude;23/03/2016 11:31:06;Partie femelle douille attache fixe TK;;;;;;N;602;5;
820017;A1 Etude;23/03/2016 11:31:05;Douille attache fixe TK;;;;;;N;602;5;
602314;A4 Approuvé;22/03/2016 09:32:05;Manchon caoutchouc;;;;;;N;602;5;54
820018;A1 Approuvé;23/03/2016 11:31:04;Kit visserie support M16 type 1;;;;;;N;602;5;2380
810001;A4 Approuvé;29/03/2016 17:10:54;Vis de réglage M27x559;;;;;;S;601;4;2.8
810002;A1 Etude;23/03/2016 11:17:47;Vis de réglage M33 Lg 640;;;;;;S;601;4;4585
810003;A1 Approuvé;23/03/2016 12:28:01;Axe principal de balancier 4S 450;;;;;;S;601;4;52
810004;A1 Approuvé;23/03/2016 12:29:52;Axe principal de balancier 6S 450;;;;;;S;601;4;82
810005;A2 Approuvé;23/03/2016 12:27:47;Axe principal de balancier 8S-8C Ø450.;;;;;;S;601;4;95
810007;A6 Etude;23/03/2016 12:26:28;Fourreau 2S 450-550;;;;;;S;601;4;1.8
810008;A2 Etude;23/03/2016 12:28:00;Rondelle sphérique M27;;;;;;N;601;4;271
810009;A1 Etude;23/03/2016 11:18:35;Rondelle sphérique M33;;;;;;S;601;4;225
810010;A1 Etude;23/03/2016 12:28:01;Plaque femelle;;;;;;N;601;4;7688
810011;A3 Approuvé;24/03/2016 15:31:38;Etrier M27 Ø157 h262;;;;;;N;601;4;2614
810012;A2 Approuvé;23/03/2016 12:28:00;Ecrou sécurité H M27;;;;;;S;601;4;188
810013;A1 Approuvé;02/02/2016 17:37:29;Ecrou sécurité H M33;;;;;;S;601;4;335
601136;A4 Approuvé;23/03/2016 12:26:42;Mors fixe attache fixe usiné Ø42;;;;;;N;601;4;
601131;A3 Approuvé;23/03/2016 12:26:45;Mors fixe attache fixe usiné Ø30;;;;;;N;601;4;
601126;A5 Approuvé;23/03/2016 12:26:41;Mors mobile attache fixe usiné Ø42;;;;;;N;601;4;
601121;A5 Approuvé;23/03/2016 12:26:48;Mors mobile attache fixe usiné Ø30;;;;;;N;601;4;3122
601135A;A1 Approuvé;23/03/2016 12:26:43;Peinture mors fixe attache fixe usiné Ø40;;;;;;N;601;4;
